,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
31,11841,Arbitrum,ARB,arbitrum,941,2023-03-23T12:50:11.000Z,"['scaling', 'dao', 'dapp', 'ethereum-ecosystem', 'polychain-capital-portfolio', 'layer-2', 'rollups', 'pantera-capital-portfolio', 'arbitrum-ecosytem', 'modular-blockchain', 'egirl-capital-portfolio']",,3231588116.00,10000000000.00,False,,32,,,,2024-06-25T16:46:00.000Z,0.84,264528043.17,6.17,-0.78,8.15,8.24,-31.60,-21.54,-49.26,2707254738.20,0.12,8377474606.96,,2024-06-25T16:46:00.000Z,11841.00,Arbitrum,ARB,arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,2024-06-26 01:47:34
32,512,Stellar,XLM,stellar,599,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio']",50001806812.00,29116677818.72,50001786967.37,False,,33,,,,2024-06-25T16:47:00.000Z,0.09,67362554.12,-9.08,-0.17,5.09,3.34,-15.80,-18.67,-31.17,2681045628.80,0.12,4604135348.82,,2024-06-25T16:47:00.000Z,,,,,,2024-06-26 01:47:34
33,4847,Stacks,STX,stacks,182,2019-10-28T00:00:00.000Z,"['mineable', 'platform', 'collectibles-nfts', 'defi', 'smart-contracts', 'metaverse', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'hashkey-capital-portfolio', 'huobi-capital-portfolio', 'usv-portfolio', 'web3', 'injective-ecosystem', 'bitcoin-ecosystem']",1818000000.00,1468569633.16,1818000000.00,False,,34,1048765672.09,1819570073.81,,2024-06-25T16:46:00.000Z,1.73,134930567.21,46.42,-0.14,12.40,8.94,-12.45,-34.72,-47.90,2547914588.48,0.11,3154163491.65,,2024-06-25T16:46:00.000Z,,,,,,2024-06-26 01:47:34
34,2280,Filecoin,FIL,filecoin,492,2017-12-13T00:00:00.000Z,"['mineable', 'distributed-computing', 'filesharing', 'storage', 'polychain-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'dcg-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'winklevoss-capital-portfolio', 'pantera-capital-portfolio', 'web3', 'filecoin-ecosystem', 'sec-security-token', 'alleged-sec-securities', 'depin']",,564918530.00,1960169033.00,False,,35,,,,2024-06-25T16:47:00.000Z,4.48,143964194.13,-21.12,-0.53,4.25,5.66,-24.30,-24.72,-50.95,2528885751.85,0.11,8774793665.86,,2024-06-25T16:47:00.000Z,,,,,,2024-06-26 01:47:34
35,27075,Mantle,MNT,mantle,77,2023-07-17T11:00:31.000Z,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio']",6219316795.00,3266841707.84,6219316794.99,False,,36,1843669839.00,1425814092.25,,2024-06-25T16:47:00.000Z,0.77,236527908.72,14.69,-0.47,5.23,-3.68,-25.23,-29.77,-39.68,2526433337.27,0.11,4809749198.51,,2024-06-25T16:47:00.000Z,1027.00,Ethereum,ETH,ethereum,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-06-26 01:47:34
36,3897,OKB,OKB,okb,124,2019-04-30T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'alameda-research-portfolio', 'x1-ecosystem']",,60000000.00,300000000.00,False,,37,246638974.00,10160318671.78,,2024-06-25T16:46:00.000Z,41.20,3800367.20,-20.90,-0.10,0.68,-0.72,-15.13,-21.50,-35.68,2471706358.57,0.11,12358531792.84,,2024-06-25T16:46:00.000Z,1027.00,Ethereum,ETH,ethereum,0x75231f58b43240c9718dd58b4967c5114342a86c,2024-06-26 01:47:34
37,3635,Cronos,CRO,cronos,240,2018-12-14T00:00:00.000Z,"['medium-of-exchange', 'cosmos-ecosystem', 'centralized-exchange', 'mobile', 'payments', 'injective-ecosystem', 'layer-1']",,26571560696.00,30000000000.00,False,,38,,,,2024-06-25T16:46:00.000Z,0.09,10806593.38,-12.86,-0.17,5.19,0.75,-22.48,-27.86,-37.19,2455322229.44,0.11,2772124216.78,,2024-06-25T16:46:00.000Z,,,,,,2024-06-26 01:47:34
38,10603,Immutable,IMX,immutable-x,292,2021-06-24T00:00:00.000Z,"['collectibles-nfts', 'zero-knowledge-proofs', 'gaming', 'scaling', 'layer-2', 'rollups', 'arrington-xrp-capital-portfolio', 'alameda-research-portfolio']",2000000000.00,1507875589.39,2000000000.00,False,,39,570354831.00,886490380.98,,2024-06-25T16:47:00.000Z,1.55,59097686.12,4.20,-0.43,5.70,8.83,-34.98,-23.89,-46.56,2343658952.38,0.10,3108557455.10,,2024-06-25T16:47:00.000Z,1027.00,Ethereum,ETH,ethereum,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,2024-06-26 01:47:34
39,26081,First Digital USD,FDUSD,first-digital-usd,323,2023-07-26T04:26:40.000Z,"['stablecoin', 'ethereum-ecosystem', 'binance-smart-chain', 'usd-stablecoin', 'fiat-stablecoin']",,2222148282.30,2222148282.30,False,,40,,,,2024-06-25T16:46:00.000Z,1.00,5564895778.82,6.23,0.08,0.13,0.12,0.18,0.06,0.28,2223924929.02,0.10,2223924929.02,,2024-06-25T16:46:00.000Z,1027.00,Ethereum,ETH,ethereum,0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409,2024-06-26 01:47:34
40,1518,Maker,MKR,maker,483,2017-01-29T00:00:00.000Z,"['store-of-value', 'defi', 'dao', 'polychain-capital-portfolio', 'governance', 'lending-borowing', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'paradigm-portfolio', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'spartan-group', 'bnb-chain', 'real-world-assets', 'standard-crypto-portfolio']",1005577.00,928666.40,977631.04,False,,41,,,0.38,2024-06-25T16:46:00.000Z,2377.25,99496387.86,27.14,0.59,10.74,9.91,-16.29,-16.98,-25.44,2207674007.78,0.10,2390509893.57,5852704761.65,2024-06-25T16:46:00.000Z,1027.00,Ethereum,ETH,ethereum,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,2024-06-26 01:47:34
41,3077,VeChain,VET,vechain,289,2017-08-22T00:00:00.000Z,"['logistics', 'data-provenance', 'iot', 'smart-contracts', 'fenbushi-capital-portfolio', 'real-world-assets']",86712634466.00,80985041177.00,85985041177.00,False,,42,80985041177.00,2159774337.08,,2024-06-25T16:46:00.000Z,0.03,38357439.10,1.40,-0.11,8.16,7.93,-25.04,-32.17,-39.58,2159774337.08,0.09,2312522410.30,,2024-06-25T16:46:00.000Z,,,,,,2024-06-26 01:47:34
42,7226,Injective,INJ,injective,385,2020-09-29T00:00:00.000Z,"['pos', 'platform', 'cosmos-ecosystem', 'ai-big-data', 'defi', 'smart-contracts', 'cosmos', 'binance-smart-chain', 'binance-launchpad', 'binance-labs-portfolio', 'cms-holdings-portfolio', 'pantera-capital-portfolio', 'web3', 'injective-ecosystem', 'layer-1']",,93400000.00,100000000.00,False,,43,,,,2024-06-25T16:46:00.000Z,23.10,150438083.08,11.89,0.79,8.92,16.27,-7.54,-10.31,-39.54,2157405618.38,0.09,2309856122.46,,2024-06-25T16:46:00.000Z,1027.00,Ethereum,ETH,ethereum,0xe28b3b32b6c345a34ff64674606124dd5aceca30,2024-06-26 01:47:34
43,20947,Sui,SUI,sui,268,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.00,2426143880.71,10000000000.00,False,,44,,,,2024-06-25T16:47:00.000Z,0.89,187001607.42,4.33,-1.21,3.63,14.74,-14.92,-24.28,-58.32,2154313184.93,0.09,8879577184.43,,2024-06-25T16:47:00.000Z,20947.00,Sui Network,SUI,sui,0x2::sui::SUI,2024-06-26 01:47:34
44,6719,The Graph,GRT,the-graph,483,2020-12-17T00:00:00.000Z,"['ai-big-data', 'enterprise-solutions', 'defi', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'analytics', 'coinfund-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'ledgerprime-portfolio', 'multicoin-capital-portfolio', 'parafi-capital', 'polygon-ecosystem', 'fantom-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'spartan-group', 'injective-ecosystem']",,9548520668.50,10799695879.50,False,,45,,,,2024-06-25T16:46:00.000Z,0.22,85271187.81,8.91,-0.69,6.66,11.50,-30.85,-14.50,-44.69,2105668064.70,0.09,2381580928.76,,2024-06-25T16:46:00.000Z,1027.00,Ethereum,ETH,ethereum,0xc944e90c64b2c07662a292be6244bdf05cda44a7,2024-06-26 01:47:34
